QS_LABEL,,,ENG,JPN,DEU,FRA,CHN,CHN Trad,KOR,ESP,RUS,PORT,TURKISH,POLISH,ITAL,ESP EU,NHL,THAI
,9,Language,"English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย","English,日本語,Deutsch,Français,中文,中文(繁体字),한국어,Español (americano),Русский,Português,Türkçe,Polski,Italiano,Español (peninsular),Nederlands,ภาษาไทย"
,10,Tab_Calc,Calculations,計算,Berechnungen,Calculs,功能,功能,계산,Cálculos,Расчеты,Cálculo ,Hesaplamalar,Obliczenia,Calcoli,Cálculos,Berekeningen,การคำนวณ
,11,Tab_Settings,Options,オプション,Optionen,Options,选项,選項,옵션,Opciones,Опции,Opções,Seçenekler,Opcje,Opzioni,Opciones,Opties,ตัวเลือก
,12,Tab_AboutUs,About Us,会社概要,Über uns,A propos de nous,关于我们,關於我們,회사개요,Acerca de Nosotros,О нас,Sobre nós ,Hakkımızda,O nas,Su di noi,Acerca de nosotros,Over ons,เกี่ยวกับเรา
,13,Set_Language,Language,言語,Sprache,Langue,语言,語言,언어,Lenguaje,Язык,Língua,Dil,Język,Lingua,Idioma,Taal,ภาษา
,14,Set_UG,Units,単位,Einheiten,Unités,单位,單位,단위,Unidades,Единицы измерения,Unidades,Birimler,Jednostki,Unità,Unidades,Eenheden,หน่วย
,15,Set_AllClear,Clear Values,入力値の初期化,Werte löschen,Remise à zéro,数值重置,數值重置,입력 삭제,Limpiar Valores,Очистить значения,Limpar valores,Değerleri Temizle,Wyczyść dane,Cancella i valori,Borrar valores,Waarden wissen,ล้างค่า
,16,Set_Advanced,Calculations,計算,Berechnungen,Calculs,功能,功能,계산,Cálculos,Расчеты,Cálculo,Hesaplamalar,Obliczenia,Calcoli,Cálculos,Berekeningen,การคำนวณ
,17,Set_Version,Version,バージョン,Version,Version,软件版本号,軟件版本號,Version,Versión,Версия,Versão,Versiyon,Wersja,Versione,Versión,Versie,รุ่น
,18,Clear,Clear,クリア,Löschen,Effacer,清除,清除,클리어,Limpiar,Очистить,Limpar,Temizle,Wyczyść,Cancella,Borrar,Wissen,ล้าง
,,Advanced,Show All Input Fields,入力フィールドを全て表示,Alle Eingabefelder anzeigen,Afficher tous les champs de saisies,显示所有输入字段,顯示所有輸入字段,입력필드 전체표시,Muestre Todos los Datos,Показать все поля,Mostrar todos campos de entrada,Tüm Girişleri Göster,Pokaż wszystkie pola danych wejściowych,Mostra tutti i campi di input,Mostrar todos los campos de entrada,Toon alle invoervelden,แสดงเขตข้อมูลป้อนเข้าทั้งหมด
,19,Us_Main,"TLV is internationally established, with companies in 13 countries. A network of over 100 distributors in more than 50 countries enables the speedy provision of engineering support throughout the world. TLV plays a leading role in the promotion of efficient energy systems and increased environmental conservation on a worldwide scale through its original products and services.",TLVは13の国に販売会社を置いております。また、世界中で常に技術的なサポートがご提供できるよう、50以上の国で100以上の代理店を持っております。TLVは独自の製品とサービスを提供することにより、世界中で、省エネシステムの提供と環境保護の推進において、先進的な役割を果たしています。,"TLV ist ein international tätiges Unternehmen mit Niederlassungen in 13 Ländern. Ein Netzwerk aus mehr als 100 Händlern in mehr als 50 Ländern garantiert einen weltweiten Support. TLV übernimmt eine führende Rolle in der Förderung von energieeffizienten Systemen und Umweltschutz, mittels innovativen Produkten und Dienstleistungen.",TLV est établie internationalement avec des filiales dans 13 pays. Un réseau de plus de 100 distributeurs dans plus de 50 pays permet d'apporter un soutien technique rapide dans le monde entier. TLV joue un rôle majeur au niveau international dans la promotion de systèmes énergétiques efficaces et la conservation de l'environnement grâce à ses produits et services originaux.,TLV作为一家国际性企业在全球13个国家拥有自己的公司，结合覆盖超过50个国家100多家代理商的整体销售服务网络，随时随地为您提供第一流的技术支持和服务。TLV以自身原创专利产品、专业的技术服务，在优化能源系统和增强环保意识方面始终处于同行业的领先位置。,TLV作為一家國際性企業在全球13個國家擁有自己的公司，結合覆蓋超過50個國家100多家代理商的整體銷售服務網絡，隨時隨地為您提供第一流的技術支持和服務。 TLV以自身原創專利產品、專業的技術服務，在優化能源系統和增強環保意識方面始終處於同行業的領先位置。,TLV는 13개국에 법인을 가지고 있으며 50개국에 100여개의 대리점을 가지고 있습니다. 효율적인 에너지의 활용으로 환경보전에 앞장서는 제품과 서비스를 제공하고자 합니다.,"TLV esta establecido internacionalmente, con oficinas en 13 países. Una red de mas de 100 distribuidores en mas de 50 países permite la provisión de soporte de ingeniería en cualquier parte del mundo a cualquier hora. TLV juega un papel como líder en la promoción de sistemas eficientes de energía y  de alta conservación ambiental en una escala mundial por medio de sus productos y servicios originales. ",TLV является интернациональной компанией с филиалами в 13 странах. Сеть состоящая из больше чем 100 диллеров в больше чем 50 странах гарантирует поддержку в мировом масштабе.. TLV играет ведущую роль в продвижении энергосберегающих систем и защите окружающей среды с помощью инновативных продуктов и услуг.,"TLV é estabelecida internacionalmente, com companias em 13 países. Uma rede de mais de 100 distribuidores em mais de 50 países, o que permite um rápido auxílio no suporte de engenharia em todo o mundo. A TLV desempenha o papel de liderança na promoção de sistemas de eficiência energética e no aumento da conservação do meio ambiente em escala mundial, através de seus produtos originais e serviços.","TLV , 13 ülkedeki şirketleriyle uluslararası bir kuruluştur.Dünyada 50'den fazla ülkede 100'ün üzerinde distribütör ağıyla birlikte mühendislik desteğinin hızlı tedariğini sağlamaktadır. TLV , dünya çapındaki patentli orjinal ürünleri ve hizmetlerinin sağladığı verimli enerji sistemleri ve artırılmış çevre korumasının tesisiyle  pazarda liderlik rolü oynamaktadır.","TLV jest obecna na rynku światowym, i posiada 13 oddziałów krajowych. Dodatkowo sieć dystrybutorów w 50 krajach zapewnia szybkie i profesjonalne wsparcie na całym świecie. TLV odgrywa wiodącą role w promocji efektywnego wykorzystania energii oraz związaną z tym ochroną środowiska na całym świecie dzięki unikalnym rozwiązaniom swoich produktów oraz usług.","TLV International, con compagnie in 13 paesi. Una rete di oltre 100 distributori in più di 50 paesi consente la veloce fornitura e supporto ingegneristico nel mondo. TLV gioca un ruolo guida  nella promozione di sistemi ad efficienza energetica e consente di preservare l'ambiente su scala mondiale grazie ai suoi originali prodotti e servizi.",TLV es una empresa internacional con oficinas en 13 países. Una red de más de 100 distribuidores en más de 50 países permite ofrecer soporte de ingeniería en cualquier parte del mundo a cualquier hora. TLV es líder en la promoción de sistemas eficientes de energía que protegen el medioambiente a escala mundial por medio de sus productos y sus servicios originales. ,TLV is een internationaal gevestigde onderneming met bedrijven in 13 landen. Een netwerk van 100 distributeurs in meer dan 50 landen zorgt voor een snelle technische ondersteuning over de hele wereld. TLV speelt een leidende rol in het bevorderen van efficiënte energiesystemen en een beter milieubehoud op wereldwijde schaal door middel van haar originele producten en diensten.,TLV สร้างขึ้นจากบริษัทใน 13 ประเทศทั่วโลก ด้วยเครือข่ายของผู้จัดจำหน่ายกว่า 100 รายในประเทศกว่า 50 ประเทศทำให้การจัดเตรียมอุปกรณ์สนับสนุนทางวิศวกรรมเป็นไปอย่างรวดเร็วทั่วโลก TLV มีบทบาททางด้านผู้นำในการสนับสนุนระบบพลังงานที่มีประสิทธิภาพและเพิ่มการอนุรักษ์สิ่งแวดล้อมทั่วโลกผ่านสินค้าและบริการแบบดั้งเดิม
,20,Us_Feedback,Contact Us,お問い合わせ,Kontakt,Contact,联系我们,聯繫我們,연락처,Contáctenos,Контакты,Contate nos ,Bize Ulaşın ,Kontakt,Contattaci,Contacto,Contact,ติดต่อเรา
,21,Us_Disclaimer,Disclaimer,免責事項,Haftungsausschluss,Avertissement,免责声明,免責聲明,면책사항,Notificación,Правовая информация,Aviso legal ,Sorumluluk Reddi,Wyłączenie odpowiedzialności,Liberatoria,Aviso legal,Disclaimer,คำจำกัดสิทธิ์ความรับผิดชอบ 
,22,Dc_Main,"Disclaimer - This application is provided ""as is"" without any representations or warranties, express or implied. While we make every attempt to manage and update all data and calculations, TLV gives no assurance or warranty regarding the accuracy or applicability of any of the content or information in the application. Users should not act upon any information without first seeking independent verification.",免責事項 - このソフトはそのもの単体で提供されるもので、なんらの権利、保障を意味または含有するものではありません。TLVは、このソフトを管理し、データやプログラムをアップデートしますが、それはこのソフトの内容や情報の精度・適用性を、保障・確約するものではありません。いかなる情報も、ご使用者にて別途に検証した上でご活用ください。また、技術計算ツールのご利用にあたってのサポートはしておりません。,"Haftungsausschluss - Trotz aller Sorgfalt können die Berechnungen Fehler enthalten, daher gibt TLV keine Zusage oder Garantie über die Genauigkeit oder Anwendbarkeit irgendwelchen Inhalts dieser Software. Benutzer sollten alle abgeleiteten Informationen durch unabhängige Quellen prüfen.","Mentions légales - Cette application est fournie «tel quel», sans aucune représentation ou garantie, expresse ou implicite. Bien que nous fassions tous les efforts pour gérer et mettre à jour toutes les données et les calculs, TLV ne donne aucune assurance ou garantie quant à l'exactitude ou l'applicabilité de tout contenu ou information de cette application. Les utilisateurs devraient demander une vérification indépendante avant toute action suite aux calculs effectués.",免责声明 - 本应用程序是对现有工程信息、计算公式等的收集和还原，不添加任何的阐述或保证、明示或暗示。TLV会尽力去管理和更新应用程序里的数据和计算公式，但对于应用程序中任何内容或信息的准确性或适用性不做任何承诺或保证。用户在采用应用程序中的内容、信息之前，应自行寻求核查、论证的方法。,免責聲明 - 本應用程序是對現有工程信息、計算公式等的收集和還原，不添加任何的闡述或保證、明示或暗示。 TLV會盡力去管理和更新應用程序裡的數據和計算公式，但對於應用程序中任何內容或信息的準確性或適用性不做任何承諾或保證。用戶在採用應用程序中的內容、信息之前，應自行尋求核查、論證的方法。,"면책사항 - 이 소프트는 TLV가 제공하는 소프트로써 데이터나 프로그램을 업데이트 관리를 실시합니다. 그것은 소프트의 내용, 정보의 정도, 상용성을 보장, 확약하는 것은 아닙니다. 사용자의 판단으로 검증하여 사용하시길 바랍니다.","Notificación - Esta aplicación provee ""tal cual es"" sin ninguna representación o garantías, expresadas o implícitas. Mientras que hacemos todo lo necesario para manejar y actualizar toda la información y los cálculos, TLV no otorga ninguna garantía con respecto a exactitud o aplicabilidad de cualquier información contenida en la aplicación. Los usuarios no deberán actuar sobre cualquier información sin antes buscar una verificación independiente. ';"," Правовая информация - не смотря на все старания  и осторожность, вычисления могут содержать ошибку. В этом случае TLV не даёт обещаний или гарантий по точности или применяемости содержимого данной прграммы. Пользователям следует проверять выведенную информацию в независимых источниках. ","aviso legal - Essa aplicação é fornecida ""como é"" sem quaisquer representações ou garantias, expresso ou implícito. Embora façamos todos os esforços para gerenciar e atualizar todos os dados e cálculos, a TLV não dá nenhuma garantia quanto a precisão de aplicabilidade de qualquer parte do conteúdo ou informação na aplicação. Usuários não devem agir de acordo com qualquer informação, sem  antes primeiramente fazer uma verificação independente.","Sorumluluk Reddi - Bu uygulama ,  hiçbir işaret etmeler veya garantiler, özeller veya imalar dışında  ""bu haliyle"" tedarik edilmiştir. Biz, tüm verileri ve hesaplamaları yönetme ve güncelleme için herbir teşebbüsümüzü yaparken,TLV uygulamadaki herhangi bir içeriğin veya bilginin herhangi bir şekilde doğruluğuna veya uygulanabilirliğine dair hiçbir teminat veya garanti vermez. Kullanıcılar, bağımsız bir doğrulama kuruluşundan onay almadan herhangi bir bilgiye dayanarak hareket etmemelidir. ","Wyłączenie odpowiedzialności- Ta aplikacja jest udostępniana tak ""jak jest"" bez jakichkolwiek reprezentacji lub gwarancji, wyraźnych lub ukrytych. Dokładamy wszelkich starań aby zarządzać i aktualizować wszystkie dane i obliczenia, jednakże TLV nie daje żadnych gwarancji dotyczących dokładności lub stosowalności jakiejkolwiek zawartości lub informacji zawartych w tej aplikacji. Użytkownicy nie powinni wykorzystywać tych informacji bez uprzedniego zasięgnięcia niezależnej weryfikacji.","Disclaimer - This application is provided ""as is"" without any representations or warranties, express or implied. While we make every attempt to manage and update all data and calculations, TLV gives no assurance or warranty regarding the accuracy or applicability of any of the content or information in the application. Users should not act upon any information without first seeking independent verification.","Aviso legal: Esta aplicación se suministra ""tal cual"", sin declaraciones ni garantías explícitas o implícitas. Aunque TLV hace todo lo necesario para gestionar y actualizar la información y los cálculos, no otorga ninguna garantía con respecto a la exactitud o la aplicabilidad de la información contenida en la aplicación. Los usuarios no deben actuar a partir de una información sin antes verificarla de forma independiente.","Disclaimer - Deze applicatie wordt geleverd ""zoals ze is"" zonder garanties of verklaringen, uitdrukkelijk vermeld of impliciet. Hoewel wij alles in het werk stellen om alle gegevens en berekeningen te beheren en bij te werken, geeft TLV geen zekerheid of garantie betreffende de nauwkeurigheid of toepasbaarheid van de inhoud of informatie in de applicatie. Gebruikers moeten niet op basis van eventuele informatie handelen zonder eerst onafhankelijke verificatie in te winnen.","คำจำกัดสิทธิ์ความรับผิดชอบ - คำขอนี้จัดทำขึ้น ""ตามความจริง"" โดยไม่มีการดำเนินการแทนหรือการรับประกันและไม่มีการแสดงความเห็นหรือนัยแอบแฝง ในขณะที่เราพยายามทำทุกทางเพื่อจัดการและอัพเดตข้อมูลและการคำนวณทั้งหมด TLV ไม่อาจให้การรับรองหรือรับประกันในความถูกต้องหรือการใช้ประโยชน์จากเนื้อหาหรือข้อมูลใด ๆ ก็ตามในคำขอนี้ได้ ผู้ใช้ไม่ควรใช้ข้อมูลโดยปราศจากการตรวจสอบความจริงด้วยตัวเองก่อน"
,23,Dc_Sub,For further information visit: www.tlv.com,さらに詳細な情報 : www.tlv.com,Für nähere Informationen besuchen Sie bitte www.tlv.com,"Pour plus d'information, veuillez surfer sur : www.tlv.com",更多信息请参阅： www.tlv.com,更多信息請參閱： www.tlv.com,더많은 정보. www.tlv.com,Para mayor información refiérase a: www.tlv.com,Для получения дополнительной информации обращаться www.tlv.com,Para mais informações visite : www.tlv.com,Daha fazla bilgi için ziyaret ediniz : www.tlv.com,Więcej informacji na stronie www.tlv.com,Per ulteriori informazioni visitare: www.tlv.com,"Si desea más información, visite www.tlv.com",Bezoek voor verdere informatie: www.tlv.com,สำหรับข้อมูลเพิ่มเติมให้เข้าไปที่ www.tlv.com
,24,Back,Back,戻る,Zurück,Retour,返回,返回,전단계,Regresar,Назад,voltar,Geri,Powrót,Indietro,Volver,Terug,กลับ
,25,Calculate,Calculate,計算,Berechnen,Calculer,计算,計算,계산,Calcular,Расчитать,Calcular,Hesaplama,Oblicz,Calcolare,Calcular,Berekenen,คำนวณ
,26,Eqution,Equation(s),計算式,Formel(n),Formule(s),公式,公式,계산식,Ecuacion(es),Формула(ы),Equações,Denklem(s),Równanie(a),Equazione (i),Ecuaciones,Vergelijking(en),สมการ
,27,EquNotes,Equation(s) / Note(s),計算式・注記,Formel(n) / Bemerkungen,Formule(s) / remarque(s),公式/注解,公式/註解,계산식과 노트의 표시,Ecuacion(es) / Nota(s),Формулы / Примечания,Equações / Notas,Denklem (s) / Not (s),Równanie(a)/ Uwaga(i),Equazione (i) / Nota (e),Ecuaciones/Notas,Vergelijking(en)/Opmerking(en),สมการ/หมายเหตุ
,28,Result,Result,結果,Ergebnis,Résultat,结果,結果,결과,Resultados,Результат,Resultado,Sonuç,Wynik,Risultato,Resultado,Uitkomst,ผลลัพธ์
,29,AllClear_Message,Clear all numerical values from Toolbox?,入力値を初期化しますか？,Alle in der Toolbox gespeicherten Zahlenwerte löschen?,Effacer toutes les valeurs numériques sauvegardées sur votre Toolbox?,确定重置Toolbox的所有数值？,確定重置Toolbox的所有數值？,모든 입력 숫자를 삭제 해도 좋습니까?,¿Desea limpiar todos los valores del Toolbox?,Стереть все в Toolbox сохранённые цифровые данные?,Limpar todos os valores númericos do toolbox?,Tüm sayısal değerleri Toolbox'dan temizle ?,Wyczyścić wszystkie wartości numeryczne z Toolbox-a ?,Cancellare tutti i valori numerici da Toolbox?,¿Desea borrar todos los valores numéricos del Toolbox?,Wis alle numerieke waarden van Toolbox?,ล้างค่าตัวเลขทั้งหมดจากกล่องเครื่องมือหรือไม่
,30,AllClear_YES,Yes,はい,Ja,Oui,是,是,예,Sí,Да,Sim,Evet,Tak,Si,Sí,Ja,ใช่
,31,AllClear_NO,No,いいえ,Nein,Non,否,否,아니오,No,Нет,Não,Hayır,Nie,No,No,Nee,ไม่
,32,Copy,Send,送信,Senden,Envoyer,发送,發送,Send,Enviar,Выслать,Enviar ,Gönder,Wyślij,Mandare,Enviar,Verzenden,ส่ง
,33,Done,Done,完了,Fertig,Fini,完成,完成,완료,Hecho,Выполнить,Pronto,Tamamlandı,Wykonane,Fatto,Hecho,Voltooid,เรียบร้อย
,34,Next,Next,次へ,Weiter,Suivant,下一步,下一步,Next,Siguiente,Следующее,Próximo ,Sonraki,Dalej,Avanti,Siguiente,Volgende,ถัดไป
,35,Cancel,Cancel,キャンセル,Abbrechen,Annuler,取消,取消,Cancel,Cancelar,Выход,Cancelar,İptal,Wyczyść,Cancella,Cancelar,Annuleren,ยกเลิก
,36,Yes,Yes,はい,Ja,Oui,是,是,예,Sí,Да,Sim,Evet,Tak,Si,Sí,Ja,ใช่
,37,No,No,いいえ,Nein,Non,否,否,아니오,No,Нет,Não,Hayır,Nie,No,No,Nee,ไม่
,,Advanced_Flg,ON/OFF,表示/非表示,Ja / Nein,Oui / Non,显示/不显示,顯示/不顯示,표시/비표시,Encender / Apagar,Вкл/Выкл,Ligado/Desligado,Aç / Kapa,On/OFF,ACCESO/SPENTO,Encender/Apagar,AAN/UIT,เปิด/ปิด
,38,ContactUs,https://www.tlv.com/global/TI/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/ja/contactform/contactj_form.php?id=H081,https://www.tlv.com/global/DE/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/FR/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/CN/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/CN/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/KR/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/LA/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/RU/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/BR/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/TR/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/UK/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/IT/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/ES/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/NL/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact,https://www.tlv.com/global/TH/contact-us/contact-form.html?utm_source=toolbox&utm_medium=app&utm_campaign=contact
,39,ErrorMessage,Error message,エラーメッセージ,Fehlermeldung,Message d'erreur,错误信息,錯誤信息,Error message,Mensaje de Error,Ошибка,Mensagem de erro,Hata Mesajı,Komunikat błędu,Messaggio di errore,Mensaje de error,Foutmelding,ข้อความผิดพลาด
,40,ExtraCalculation,Show All Calculations,計算式を全て表示,Alle Berechnungen anzeigen,Afficher tous les calculs,显示所有公式,顯示所有公式,모든 계산식 표시,Muestre Todos los Cálculos,Показать все расчеты,Mostrar todos cálculos,Tüm Hesaplamaları Göster,Pokaż wszystkie obliczenia,Mostra tutti i calcoli,Mostrar todos los cálculos,Toon alle berekeningen,แสดงการคำนวณทั้งหมด
,41,OK,OK,OK,OK,OK,OK,OK,OK,OK,ОК,ok,Tamam,OK,OK,Aceptar,OK,ตกลง
,42,Note,Note(s),注記,Hinweis,Remarque(s), 注解, 註解,노트,Nota(s),Примечания,Notas,Not(s),Uwaga(i),Nota (e),Notas,Opmerking(en),หมายเหตุ
,43,Advanced_Show,Show Advanced Options,全ての入力項目を表示 ,Alle Eingabefelder anzeigen,Tous les champs de saisies,显示所有输入字段 ,顯示所有輸入字段,입력항목 전체표시,Mostrar Opciones Avanzadas,Показать дополнительные опции,Mostrar opções avançadas,Gelişmiş Seçenekleri Göster,Pokaż opcje zaawansowane,Mostra opzioni avanzate,Mostrar opciones avanzadas,Toon geavanceerde opties,แสดงตัวเลือกขั้นสูง
