QS_MESSAGE,,,ENG,JPN,DEU,FRA,CHN,CHN Trad,KOR,ESP,RUS,PORT,TURKISH,POLISH,ITAL,ESP EU,NHL,THAI
0,IDS_MSG_ERR11,11,A higher supply steam pressure is required to maintain the product temperature under the conditions specified.,供給熱量が足りません｡蒸気圧力を上げる等して下さい｡,"Ein höherer Dampfdruck wird unter den vorgegebenen Bedingung benötigt, um die Solltemperatur des Produktes zu erreichen. ",Une pression vapeur supérieure est nécessaire afin de maintenir la température du produit suivant les conditions spécifiées.,在给定条件下，维持产品温度的供汽压力应更高。,在給定條件下，維持產品溫度的供汽壓力應更高。,공급열량이 부족합니다. 증기의 압력을 높여 주십시오.,Se requiere una mayor presión de suministro de vapor para mantener la temperatura del producto bajo las condiciones especificadas.,"Для обеспечения требуемой температуры при обозначенных условиях, требуется более высокое давление пара.",Uma pressão maior do vapor de suprimento é requerida para manter a temperatura do produto nas condições específicadas.,Belirlenmiş koşullar altında ürün sıcaklığını muhafaza etmek için daha yüksek bir buhar basıncı sağlamak gereklidir.,Dla utrzymania temperatury produktu wymagane jest wyższe ciśnienie pary dla podanych warunków.,Una maggiore pressione del vapore è necessaria per mantenere la temperatura del prodotto sotto le condizioni specificate.,Se requiere una mayor presión de vapor suministro para mantener la temperatura del producto en las condiciones especificadas.,Er is een hogere stoomtoevoerdruk vereist om de producttemperatuur onder de opgegeven omstandigheden te houden.,ต้องใช้ความดันไอน้ำที่สูงกว่าเพื่อคงอุณหภูมิสินค้าภายใต้เงื่อนไขที่ระบุไว้
0,IDS_MSG_ERR12,12,Normal operating pressure must be lower than maximum pressure.,通常圧力は最高圧力より低くして下さい｡,Der Betriebsdruck muss kleiner als der Maximaldruck sein.,La pression de travail doit être inférieure à la pression maximale,正常工作压力应低于最大压力。,正常工作壓力應低於最大壓力。,사용압력은 최고압력보다 낮게 지정해 주십시오.,La presión de operación normal debe ser menor que la presión máxima.,"Рабочее давление должно быть ниже, чем максимальное давление.","Pressão normal operacional, deve ser menor que a pressão máxima.","Normal çalışma basıncı , maksimum basınçtan daha düşük olmalıdır.",Normalne ciśnienie pracy musi być niższe od ciśnienia maksymalnego.,La normale pressione operativa deve  essere necessariamente inferiore della massima pressione,La presión operativa normal debe ser menor que la presión máxima.,De normale bedrijfsdruk moet lager zijn dan de maximale drujk.,ความดันที่ใช้งานตามปกติจะต้องต่ำกว่าความดันสูงสุด
0,IDS_MSG_ERR13,13,It may be possible to make a trap selection if a different model/trap type is selected.,型式を変更すれば選定出来る可能性が有ります｡,"Eine KA-Auswahl ist eventuell möglich, wenn ein anderes Modell/Typ gewählt wird.",Il est possible de faire une sélection de purgeur si on choisit un autre modèle ou type de purgeur.,选择其它型号/疏水阀类型才可选型。,選擇其它型號/疏水閥類型才可選型。,형식을 변경하는 것으로 선정이 가능할 수 있습니다.,Es posible realizar una selección de trampa sí es seleccionado un modelo/trampa diferente.,Выбор конденсатоотводчика возможен в случае выбора другой модели/типа.,"Pode ser possível fazer a seleção de um purgador, se um modelo diferente ou tipo de purgador for selecionado.","Farklı bir model veya kapan tipi seçilirse , buhar kapanı seçimi yapılabilecektir.",Wybór odwadniacza może okazać się możliwy w przypadku zmiany rodzaju odwadniacza.,Potrebbe essere possibile fare una selezione dello scaricatore se un differente modello/scaricatore è selezionato,Es posible seleccionar la trampa si se selecciona otro tipo de modelo/trampa.,Er kan mogelijk een condenspot worden geselecteerd als een ander model/condenspot-type is geselecteerd.,สามารถสร้างตัวเลือกเครื่องดักได้ถ้าเลือกแบบ/ประเภทเครื่องดักที่แตกต่างกัน
0,IDS_MSG_ERR14,14,Ambient temperature must be higher than internal temperature.,外気温度は内部温度より高くして下さい｡,Die Umgebungstemperatur muss kleiner als die Innentemperatur sein.,La température ambiante doit être supérieure à la température interne.,环境温度应高于内部温度。,環境溫度應高於內部溫度。,외기온도는 내부온도보다 높게 지정해 주십시오.,La temperatura ambiente debe ser mayor que la temperatura interna.,Температура окружающей среды должна быть выше чем температура внутри.,A temperatura ambiente deve ser maior que a temperatura interna.,"Ortam sıcaklığı , iç sıcaklıktan daha yüksek olmalıdır.",Temperatura zewnętrzna musi być wyższa niż temperatura wewnętrzna.,Temperatura ambiente deve essere necessariamente maggiore della temperatura interna,La temperatura ambiente debe ser mayor que la temperatura interna.,De omgevingstemperatuur moet hoger zijn dan de interne temperatuur.,อุณหภูมิโดยรอบจะต้องสูงกว่าอุณหภูมิภายใน
0,IDS_MSG_ERR15,15,Steam temperature must be higher than the saturation temperature.,蒸気温度は飽和温度より高くして下さい｡,Die Dampftemperatur muss höher als die Sättingungstemperatur sein.,La température de la vapeur doit être supérieure à la température de saturation,蒸汽温度应高于饱和温度。,蒸汽溫度應高於飽和溫度。,증기온도는 포화온도보다 높게 지정해 주십시오.,La temperatura del vapor debe ser mayor que la temperatura de saturación.,Температура пара должна быть выше чем температура насыщения.,A temperatura do vapor deve ser maior que a temperatura de saturação.,"Buhar sıcaklığı , doyma sıcaklığından daha yüksek olmalıdır.",Temperatura pary wodnej musi być wyższa od temperatury nasycenia.,La temperatura del vapore deve essere necessariamente maggiore della temperatura di saturazione,La temperatura del vapor debe ser mayor que la temperatura de saturación.,De stoomtemperatuur moet hoger zijn dan de verzadigingstemperatuur.,อุณหภูมิไอน้ำจะต้องสูงกว่าอุณหภูมิอิ่มตัว
0,IDS_MSG_ERR16,16,Inlet temperature must be lower than outlet temperature.,入口側の温度は出口側の温度より低くして下さい｡,Die Eintrittstemperatur muss kleiner als die Austrittstemperatur sein.,La température d'entrée doit être inférieure à celle de sortie,入口温度应低于出口温度。,入口溫度應低於出口溫度。,입구측온도는 출구측온도보다 낮게 지정해 주십시오.,La temperatura de entrada debe ser menor que la temperatura de salida.,"Температура на входе должна быть ниже, чем температура на выходе.",A temperatura de entrada deve ser menor que a temperatura de sáida.,"Giriş sıcaklığı , çıkış sıcaklığından daha düşük olmalıdır.",Temperatura wejściowa musi być niższa od temperatury wyjściowej.,La temperatura d'ingresso deve essere necessariamente minore della temperatura d'uscita,La temperatura de entrada debe ser menor que la temperatura de salida.,De inlaattemperatuur moet lager zijn dan de uitlaattemperatuur.,อุณหภูมิช่องเข้าจะต้องต่ำกว่าอุณหภูมิช่องออก
0,IDS_MSG_ERR17,17,Outlet temperature must be lower than steam temperature.,出口側の温度は蒸気温度より低くして下さい｡,Die Austrittstemperatur muss kleiner als die Dampftemperatur sein.,La température de sortie doit être inférieure à celle de la vapeur,出口温度应低于入口温度。,出口溫度應低於入口溫度。,출구측온도는 증기온도보다 낮게 지정해 주십시오.,La temperatura de salida debe ser menor que la temperatura del vapor.,"Температура на выходе должна быть ниже, чем температура пара.",A temperatura de sáida deve ser menor que a temperatura do vapor.,"Çıkış sıcaklığı ,buhar sıcaklığından daha düşük olmalıdır.",Temperatura wyjściowa musi być niższa od temperatury pary wodnej.,La temperatura d'uscita deve essere necessariamente minore della temperatura del vapore,La temperatura de salida debe ser menor que la temperatura del vapor.,De uitlaattemperatuur moet lager zijn dan de stoomtemperatuur.,อุณหภูมิช่องออกจะต้องต่ำกว่าอุณหภูมิไอน้ำ
0,IDS_MSG_ERR18,18,Flash tank pressure must be lower than condensate pressure.,ﾌﾗｯｼｭﾀﾝｸ圧力はﾄﾞﾚﾝ圧力より低くして下さい｡,Der Druck im Entspannungstank muss kleiner als der Kondensatdruck sein.,La pression dans le vase de revaporisation doit être inférieure à celle du condensât,闪蒸罐压力应低于冷凝水压力。,閃蒸罐壓力應低於冷凝水壓力。,플래쉬탱크압력은 응축수의 압력보다 낮게 지정해 주십시오.,La presión del tanque flash debe ser menor que la presión del condensado.,"Давление в расширителе должно быть ниже, чем давление в конденсатной линии.",Pressão do tamque de flash deve ser menor que a pressão do condensado.,"Flaş tankı basıncı , kondens basıncından daha düşük olmalıdır.",Ciśnienie w rozprężaczu kondensatu musi być niższe od ciśnienia kondensatu.,La pressione del serbatoio deve essere necessariamente inferiore della temperatura della condensa,La presión del depósito flash debe ser menor que la presión del condensado.,De flashtankdruk moet lager zijn dan de condensaatdruk.,ความดันถังแฟลชจะต้องต่ำกว่าความดันควบแน่น
0,IDS_MSG_ERR19,19,The secondary pressure must be lower than the primary pressure.,二次側の圧力は一次側の圧力より低くして下さい｡,Der Gegendruck muss kleiner als der Vordruck sein.,La pression du secondaire doit être inférieure à celle du primaire,二次压力（出口）应低于一次压力（入口）。,二次壓力（出口）應低於一次壓力（入口）。,이차측압력은 일차측압력보다 낮게 지정해 주십시오.,La presión secundaria debe ser menor que la presión primaria.,"Давление на выходе должно быть ниже, чем давление на входе.",A pressão secundária deve ser menor que a pressão primária.,"İkincil basınç , birincil basınçtan daha düşük olmalıdır.",Ciśnienie wyjściowe musi być niższe od ciśnienia wejściowego.,La pressione secondaria deve essere necessariamente inferiore della pressione primaria,La presión secundaria debe ser menor que la presión primaria.,De secundaire druk moet lager zijn dan de primaire druk.,ความดันขั้นที่สองจะต้องต่ำกว่าความดันขั้นแรก
0,IDS_MSG_ERR20,20,The allowable pressure loss must be lower than the fluid pressure.,許容圧損は流体圧力より低くして下さい｡,Der maximal zulässige Druckverlust muss kleiner als der Flüssigkeitsdruck sein.,La perte de charge doit être inférieure à la pression du fluide.,允许压损应低于流体压力。,允許壓損應低於流體壓力。,허용압력손실은 유체압력보다 낮게 지정해 주십시오.,La perdida de presión permisible debe ser menor que la presión del fluido.,"Допустимые потери давления должны быть ниже, чем давление жидкости.",A perda de pressão admissível deve ser menor que a pressão do fluído.,"Müsaade edilebilir basınç kaybı , akışkanın basıncından daha düşük olmalıdır.",Dopuszczalny spadek ciśnienia musi być niższy od ciśnienia czynnika.,La massima perdita di pressione  consentita deve essere necessariamente inferiore della pressione del fluido,La pérdida de presión permisible debe ser menor que la presión del fluido.,Het toegestane drukverlies moet lager zijn dan de vloeistofdruk.,การเสียความดันที่ยอมได้จะต้องต่ำกว่าความดันของเหลว
0,IDS_MSG_ERR21,21,The ambient temperature must be lower than the saturated steam temperature.,外気温度は蒸気の飽和温度より低くして下さい｡,Die Umgebungstemperatur muss kleiner als die Sattdampftemperatur sein.,La température ambiante doit être inférieure à celle de la vapeur saturée,环境温度应低于饱和蒸汽温度。,環境溫度應低於飽和蒸汽溫度。,외기온도는 증기의 포화온도보다 낮게 지정해 주십시오.,La temperatura ambiente debe ser menor que la temperatura del vapor saturado.,"Температура окружающей среды должна быть ниже, чем температура насыщения.",A temperatura ambiente deve ser menor que a temperatura do vapor saturado.,"Ortam sıcaklığı , doymuş buhar sıcaklığından daha düşük olmalıdır.",Temperatura zewnętrzna musi być niższa od  temperatury nasycenia pary wodnej.,La temperatura ambiente deve essere necessariamente inferiore della temperatura del vapore saturo,La temperatura ambiente debe ser menor que la temperatura del vapor saturado.,De omgevingstemperatuur moet lager zijn dan de stoomverzadigingstemperatuur.,อุณหภูมิโดยรอบจะต้องต่ำกว่าอุณหภูมิไอน้ำอิ่มตัว
0,IDS_MSG_ERR22,22,The amount of blow down must be less than the amount of feed water.,ﾌﾞﾛｰ量は給水量より少なくして下さい｡,Die Wasserverluste müssen kleiner als die Speisewassermenge sein.,La quantité d'eau éliminée ( déconcentration ) doit être inférieure à celle d'appoint. ,排污量应低于锅炉给水量。,排污量應低於鍋爐給水量。,블로우량은 급수량보다 적게 지정해 주십시오.,El monto del blow-down (o purga) debe ser menor que el monto de agua de alimentación.,"Расход продувки должен быть меньше, чем расход питательной воды.",A quantidade de descarga de nível deve ser menor que a quantidade da água de alimentação.,"Blöf miktarı , besi suyu miktarından az olmalıdır.",Wielkość strumienia odmulin i odsolin musi być mniejsza od strumienia wody zasilającej.,La quantità del blow down deve essere necessariamente inferiore della quantità dell'acqua di alimento,La cantidad de descarga debe ser menor que la cantidad de agua de alimentación.,De afblaashoeveelheid moet minder zijn dan de hoeveelheid toevoerwater.,จำนวนที่ระบายจะต้องน้อยกว่าจำนวนที่ป้อนน้ำเข้า
0,IDS_MSG_ERR23,23,The boiler capacity must be greater than the amount of feed water.,ﾎﾞｲﾗ相当蒸発量(ﾎﾞｲﾗ容量)は給水量以上にして下さい｡,Der Kesselleistung muss grösser als die Speisewassermenge sein.,La capacité de la chaudière doit être supérieure à la quantité d'eau rajoutée,锅炉容量应大于锅炉给水量。,鍋爐容量應大於鍋爐給水量。,보일러 상당증발량(보일러용량)은 급수량이상으로 지정해 주십시오.,La capacidad de la caldera deb ser mayor que el monto de agua de alimentación.,"Производительность котла должна быть выше, чем расход питательной воды.",A capacidade da caldeira deve ser maior que a quantidade da água para alimentação.,"Kazan kapasitesi , besi suyu miktarından daha büyük olmalıdır.",Wydajność kotła musi być wyższa od strumienia wody zasilającej.,La capacità del boiler deve essere necessariamente maggiore della quantità dell'acqua di alimento,La capacidad de la caldera debe ser mayor que la cantidad de agua de alimentación.,De boilercapaciteit moet groter zijn dan de hoeveelheid toevoerwater.,ความจุหม้อน้ำจะต้องมากกว่าจำนวนที่ป้อนน้ำเข้า
0,IDS_MSG_ERR24,24,The temperature of the feed water must be lower than the steam saturation temperature.,給水温度は蒸気の飽和温度より低くして下さい｡,Die Speisewassertemperatur muss kleiner als die Sattdampftemperatur sein.,La température de l'eau rajoutée dans la chaudière doit être inférieure à celle de la vapeur saturée.,锅炉给水温度应低于饱和蒸汽温度。,鍋爐給水溫度應低於飽和蒸汽溫度。,급수온도는 증기의 포화온도보다 낮게 지정해 주십시오.,La temperatura del agua de alimentación debe ser menor que la temperatura de saturación del vapor.,"Температура питательной воды должна быть ниже, чем температура насыщения.",A temperatura da água de alimentação deve ser menor que a temperatura da saturação do vapor.,"Kazan besi suyu sıcaklığı , buhar doyma sıcaklığından daha düşük olmalıdır.",Temperatura wody zasilającej musi być niższa od temperatury nasycenia pary wodnej.,La temperatura dell'acqua di alimento deve essere necessariamente inferiore alla temperatura di saturazione del vapore.,La temperatura del agua de alimentación debe ser menor que la temperatura de saturación del vapor.,De temperatuur van het toevoerwater moet lager zijn dan de stoomverzadigingstemperatuur.,อุณหภูมิที่ป้อนน้ำเข้าจะต้องต่ำกว่าอุณหภูมิอิ่มตัวของไอน้ำ
0,IDS_MSG_ERR25,25,The temperature of the feed water must be lower than the steam temperature.,給水温度は蒸気の温度より低くして下さい｡,Die Speisewassertemperatur muss kleiner als die Dampftemperatur sein.,La température de l'eau rajoutée dans la chaudière doit être inférieure à celle de la vapeur.,锅炉给水温度应低于蒸汽温度。,鍋爐給水溫度應低於蒸汽溫度。,급수온도는 증기의 포화온도보다 낮게 지정해 주십시오. ,La temperatura del agua de alimentación debe ser menor que la temperatura del vapor.,"Температура питательной воды должна быть ниже, чем температура пара.",A temperatura da água de alimentação deve ser menor que a temperatura do vapor.,"Kazan besi suyu sıcaklığı , buhar sıcaklığından daha düşük olmalıdır.",Temperatura wody zasilającej musi być niższa od temperatury pary wodnej.,La temperatura dell'acqua di alimento deve essere necessariamente inferiore alla temperatura del vapore.,La temperatura del agua de alimentación debe ser menor que la temperatura del vapor.,De temperatuur van het toevoerwater moet lager zijn dan de stoomtemperatuur.,อุณหภูมิที่ป้อนน้ำเข้าจะต้องต่ำกว่าอุณหภูมิไอน้ำ
0,IDS_MSG_ERR26,26,The amount of condensate must be less than the steam flow.,ﾄﾞﾚﾝ量は蒸気流量より少なくして下さい｡,Die Kondensatmenge muss geringer als die Dampfmenge sein.,La quantité de condensât doit être inférieure au débit vapeur. ,冷凝水量应低于蒸汽流量。,冷凝水量應低於蒸汽流量。,응축수량은 증기유량보다 적게 지정해 주십시오.,El monto de condensado debe ser menor que el flujo de vapor.,Количество конденсата чем расход пара.,A quantidade de condensado deve ser menor que a vazão de vapor.,"Kondens miktarı , buhar debisinden daha az olmalıdır. ",Ilość kondensatu musi być niższa od przepływu pary wodnej.,La quantità della condensa deve essere necessariamente inferiore al flusso di vapore.,La cantidad de condensado debe ser menor que el flujo de vapor.,De hoeveelheid condensaat moet minder zijn dan het stoomdebiet.,จำนวนการควบแน่นจะต้องน้อยกว่าการไหลของไอน้ำ
0,IDS_MSG_ERR27,27,The temperature of the mixture must be lower than the steam temperature.,混合物温度は蒸気温度より低くして下さい｡,Die Mischtemperatur muss kleiner als die Dampftemperatur sein.,La température de mélange doit être inférieure à celle de la vapeur,混合温度应低于蒸汽温度。,混合溫度應低於蒸汽溫度。,혼합물의 온도는 증기온도보다 낮게 지정해 주십시오.,La temperatura de la mezcla debe ser menor que la temperatura del vapor.,"Температура смеси должна быть ниже, чем температура пара.",A temperatura da mistura deve ser menor que  a temperatura do vapor.,"Karışımın sıcaklığı , buhar sıcaklığından daha düşük olmalıdır.",Temperatura mieszaniny musi być niższa od temperatury nasycenia pary wodnej.,La temperatura della miscela deve essere necessariamente inferiore alla temperatura del vapore.,La temperatura de la mezcla debe ser menor que la temperatura del vapor.,De temperatuur van het mengsel moet lager zijn dan de stoomtemperatuur.,อุณหภูมิของส่วนผสมจะต้องต่ำกว่าอุณหภูมิไอน้ำ
